original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,Cold Turkey,0.60908,19/02/1971,99,Cold Turkey,7.5,4,7.99
en,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",3.057828,06/10/2014,107,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.5,45,7.99
en,The Abdication,0.567976,03/10/1974,103,The Abdication,8,2,7.99
en,American Sniper,19.228561,11/12/2014,133,American Sniper,7.4,4600,6.99
en,Rock-a-Bye Baby,1.048805,23/07/1958,103,Rock-a-Bye Baby,7.1,19,6.99
en,American Promise,0.459708,18/10/2013,135,American Promise,7.5,2,7.99
en,Predestination,10.524204,28/08/2014,97,Predestination,7.3,1971,6.99
en,Ward 13,0.17899,01/01/2003,15,Ward 13,8.2,5,7.99
en,What We Do in the Shadows,10.504198,19/06/2014,86,What We Do in the Shadows,7.4,779,6.99
en,The Best of Me,8.196975,16/10/2014,117,The Best of Me,7.2,777,6.99
en,The Judge,17.887943,08/10/2014,141,The Judge,7.2,1433,6.99
en,Fury,36.713807,15/10/2014,135,Fury,7.4,4028,6.99
en,St. Vincent,13.655752,09/10/2014,102,St. Vincent,7.1,770,6.99
en,Charlie Chan at the Wax Museum,0.514756,06/09/1940,63,Charlie Chan at the Wax Museum,8.4,5,7.99
en,Swedish House Mafia - Leave the World Behind,1.404872,12/03/2014,90,Leave the World Behind,7.3,21,6.99
en,Nightcrawler,21.277073,23/10/2014,117,Nightcrawler,7.6,3475,7.99
en,Big Hero 6,213.849907,24/10/2014,102,Big Hero 6,7.8,6289,7.99
en,"Love, Rosie",14.566103,16/10/2014,102,"Love, Rosie",7.7,1660,7.99
en,"Like Sunday, Like Rain",3.524327,01/03/2014,104,"Like Sunday, Like Rain",7.5,40,7.99
en,Winterhawk,1.20983,05/11/1975,98,Winterhawk,8.5,2,7.99
en,The Big Snit,0.001393,01/01/1985,10,The Big Snit,7.1,10,6.99
en,Ex Machina,14.14078,21/01/2015,108,Ex Machina,7.6,4862,7.99
en,Heart Beat,1.767099,25/04/1980,110,Heart Beat,7.5,2,7.99
en,Charlie Chan's Murder Cruise,0.860084,02/05/1940,77,Charlie Chan's Murder Cruise,7.3,6,6.99
en,Charlie Chan's Secret,0.630625,17/01/1936,72,Charlie Chan's Secret,7.4,8,6.99
en,History of the Eagles,1.743032,19/01/2013,186,History of the Eagles,7.5,19,7.99
en,Olive Kitteridge,6.029457,02/11/2014,233,Olive Kitteridge,7.6,66,7.99
en,Still Life,4.999237,28/11/2013,92,Still Life,7.3,89,6.99
en,It's Love I'm After,1.328313,20/11/1937,90,It's Love I'm After,7.5,3,7.99
en,You're Not You,6.800456,10/10/2014,104,You're Not You,7.3,247,6.99
en,Air Raid Wardens,0.415583,04/04/1943,67,Air Raid Wardens,7.3,4,6.99
en,Frisco Kid,0.308882,29/11/1935,77,Frisco Kid,7.7,3,7.99
en,Dead Man's Eyes,0.206768,10/11/1944,64,Dead Man's Eyes,8,5,7.99
en,The Imitation Game,31.59594,14/11/2014,113,The Imitation Game,8,5895,7.99
en,Rudderless,10.964584,17/10/2014,105,Rudderless,7.4,106,6.99
en,The Man Who Played God,0.729945,19/02/1932,80,The Man Who Played God,7.9,4,7.99
en,Rio Rita,0.216012,01/04/1942,91,Rio Rita,7.1,4,6.99
en,Long Way Round,2.091255,03/10/2004,294,Long Way Round,8.2,24,7.99
en,Too Many Cooks,1.272698,27/10/2014,11,Too Many Cooks,8.5,24,7.99
en,The Theory of Everything,11.85302,26/11/2014,123,The Theory of Everything,7.8,3403,7.99
en,Doctor Who: The Time of the Doctor,3.331914,25/12/2013,60,Doctor Who: The Time of the Doctor,8.4,61,7.99
en,Destroyer,0.517981,19/08/1943,99,Destroyer,7.4,4,6.99
en,Song of the Sea,6.967358,06/09/2014,93,Song of the Sea,8.1,420,7.99
en,Hot Stuff,0.215778,10/08/1979,91,Hot Stuff,7.8,6,7.99
en,Alive Inside,2.020862,18/01/2014,74,Alive Inside,7.8,34,7.99
en,Elvis and Anabelle,2.644962,10/03/2007,106,Elvis and Anabelle,7.1,23,6.99
en,Home Before Dark,1.858785,16/11/1958,136,Home Before Dark,8,3,7.99
en,Let No Man Write My Epitaph,0.468404,10/11/1960,105,Let No Man Write My Epitaph,10,1,9.99
en,Ragamuffin,0.495744,09/01/2014,137,Ragamuffin,7.2,5,6.99
en,Trailer Park Boys: Live at the North Pole,1.43617,15/11/2014,88,Trailer Park Boys: Live at the North Pole,7.6,8,7.99
en,Cowspiracy: The Sustainability Secret,6.213797,01/07/2014,85,Cowspiracy: The Sustainability Secret,7.9,119,7.99
en,"Mayday at 40,000 Feet!",0.946415,12/11/1976,100,"Mayday at 40,000 Feet!",8,2,7.99
en,Wanderers,1.621875,11/10/2014,4,Wanderers,7.4,24,6.99
en,Eight Iron Men,0.805255,01/12/1952,80,Eight Iron Men,8.5,2,7.99
en,The Hobbit: The Battle of the Five Armies,31.718977,10/12/2014,144,The Hobbit: The Battle of the Five Armies,7.1,4884,6.99
en,Selma,7.107071,25/12/2014,127,Selma,7.4,835,6.99
en,Unbroken,10.543955,25/12/2014,137,Unbroken,7.3,1437,6.99
en,The Good Lie,10.831362,09/09/2014,110,The Good Lie,7.3,210,6.99
en,McLibel,0.803616,20/05/2005,85,McLibel,7.8,4,7.99
en,Marvellous,3.448294,19/02/2015,90,Marvellous,7.3,38,6.99
en,Mommy,14.876086,22/05/2014,138,Mommy,8.2,734,7.99
en,Neighbours,0.937717,01/01/1952,8,Neighbours,7.8,19,7.99
en,Kingsman: The Secret Service,28.224212,29/01/2015,130,Kingsman: The Secret Service,7.6,6069,7.99
en,The Punisher: Dirty Laundry,11.309444,16/07/2012,10,The Punisher: Dirty Laundry,7.3,144,6.99
en,The Walking Stick,0.584448,05/06/1970,96,The Walking Stick,10,1,9.99
en,Danza macabra,0.684865,27/02/1964,87,Castle of Blood,7.5,11,7.99
en,Get Crazy,0.584128,05/08/1983,92,Get Crazy,8.4,4,7.99
en,Rocks in my Pockets,0.829203,21/08/2014,88,Rocks in my Pockets,9.4,5,8.99
en,George Lopez: America's Mexican,0.534723,24/02/2007,65,George Lopez: America's Mexican,10,1,9.99
en,Partysaurus Rex,6.066171,14/09/2012,7,Partysaurus Rex,7.4,81,6.99
en,The Biggest Bundle of Them All,0.526755,17/01/1968,108,The Biggest Bundle of Them All,9.5,3,9.99
en,Robin Williams: Weapons of Self Destruction,2.174557,06/12/2009,90,Robin Williams: Weapons of Self Destruction,7.5,16,7.99
en,The War at Home,0.040128,01/01/1979,0,The War at Home,8,1,7.99
en,Busting,0.795192,27/02/1974,92,Busting,7.7,6,7.99
en,Poolside,0.088651,01/01/2012,15,Poolside,9,2,8.99
en,Tropico,1.759584,05/12/2013,27,Tropico,8.4,30,7.99
en,Korengal,1.03755,30/05/2014,84,Korengal,7.1,27,6.99
en,A Matter of Time,0.079472,07/10/1976,97,A Matter of Time,8,1,7.99
en,McCullin,0.869409,26/04/2012,89,McCullin,7.5,15,7.99
en,Red Army,3.898604,13/08/2014,76,Red Army,7.3,57,6.99
en,Carry On Cabby,4.639023,01/06/1963,91,Carry On Cabby,7.1,21,6.99
en,Katt Williams: Priceless: Afterlife,0.476007,16/08/2014,58,Katt Williams: Priceless: Afterlife,10,2,9.99
en,The Old Maid,2.603629,02/09/1939,95,The Old Maid,7.8,7,7.99
en,Too Tough to Die: A Tribute to Johnny Ramone,0.148078,26/04/2006,76,Too Tough to Die: A Tribute to Johnny Ramone,7.3,2,6.99
en,Night Court,0.144281,04/06/1932,92,Night Court,8,1,7.99
en,The Littlest Angel,0.498207,07/11/2011,84,The Littlest Angel,8.5,2,7.99
en,The Sky Dragon,0.267863,27/04/1949,64,The Sky Dragon,8.5,2,7.99
en,The Amazing Dr. Clitterhouse,1.25249,30/07/1938,87,The Amazing Dr. Clitterhouse,7.4,7,6.99
en,The Captain Hates the Sea,0.086883,02/11/1934,93,The Captain Hates the Sea,9,1,8.99
en,Miracle in the Rain,0.504255,31/03/1956,108,Miracle in the Rain,8.5,2,7.99
en,Mad Max: Fury Road,29.36178,13/05/2015,120,Mad Max: Fury Road,7.3,9629,6.99
en,Star Wars: The Force Awakens,31.626013,15/12/2015,136,Star Wars: The Force Awakens,7.5,7993,7.99
en,Avengers: Age of Ultron,37.37942,22/04/2015,141,Avengers: Age of Ultron,7.3,6908,6.99
en,Deadpool,187.860492,09/02/2016,108,Deadpool,7.4,11444,6.99
en,Guardians of the Galaxy Vol. 2,185.330992,19/04/2017,137,Guardians of the Galaxy Vol. 2,7.6,4858,7.99
en,Captain America: Civil War,145.882135,27/04/2016,147,Captain America: Civil War,7.1,7462,6.99
en,Doctor Strange,43.847654,25/10/2016,115,Doctor Strange,7.1,5880,6.99
en,Man Made Monster,0.14576,28/03/1941,59,Man Made Monster,7.8,4,7.99
en,The Golden Age of Comedy,0.036643,26/12/1957,79,The Golden Age of Comedy,8,1,7.99
en,The Geisha Boy,1.771469,02/11/1958,98,The Geisha Boy,7.1,17,6.99
en,Taken,10.62823,02/12/2002,877,Taken,7.4,76,6.99
en,Payment on Demand,0.795493,03/02/1951,90,Payment on Demand,7.1,6,6.99
en,Nas: Time Is Illmatic,1.923351,04/04/2014,74,Nas: Time Is Illmatic,7.1,30,6.99
en,The Twilight of the Golds,0.099879,22/03/1996,92,The Twilight of the Golds,7.8,2,7.99
en,I Love Melvin,0.200861,20/03/1953,77,I Love Melvin,7.3,3,6.99
en,Vito,0.676437,14/10/2011,93,Vito,8,3,7.99
en,Kid Blue,2.11682,31/01/1973,100,Kid Blue,7.3,5,6.99
en,Snow in August,1.028803,12/08/2001,104,Snow in August,7.6,5,7.99
en,The Admirable Crichton,0.733941,16/12/1957,94,The Admirable Crichton,7.1,5,6.99
en,Spike of Bensonhurst,0.037969,11/11/1988,100,Spike of Bensonhurst,9,1,8.99
en,Whoever Slew Auntie Roo?,0.736877,31/10/1971,91,Whoever Slew Auntie Roo?,7.1,10,6.99
en,Suspect,0.559919,01/01/1960,81,Suspect,7.2,3,6.99
en,I Was Monty's Double,0.148986,21/10/1958,101,I Was Monty's Double,8,4,7.99
en,How Sweet It Is!,1.070586,21/08/1968,99,How Sweet It Is!,8.2,6,7.99
en,My Reputation,0.264751,26/01/1946,94,My Reputation,7.4,5,6.99
en,There's Always A Woman,0.413343,20/04/1938,81,There's Always A Woman,7.3,2,6.99
en,Marathon Boy,0.081112,01/01/2010,98,Marathon Boy,7.5,2,7.99
en,Return from the Ashes,0.07673,16/11/1965,105,Return from the Ashes,8.5,2,7.99
en,Kidco,1.00E-06,13/04/1984,105,Kidco,7.1,7,6.99
en,The Great Rupert,0.206341,01/03/1950,88,The Great Rupert,7.6,5,7.99
en,The Student Prince,0.545476,15/06/1954,107,The Student Prince,8.5,2,7.99
en,Never Let Go,0.372205,01/01/1960,90,Never Let Go,7.6,5,7.99
en,Sweeney!,0.529845,14/01/1977,89,Sweeney!,7.2,5,6.99
en,The Little Hut,0.883862,03/05/1957,90,The Little Hut,10,2,9.99
en,Duffy,0.290919,16/09/1968,101,Duffy,8,3,7.99
en,The Court-Martial of Jackie Robinson,0.081817,15/10/1990,100,The Court-Martial of Jackie Robinson,10,1,9.99
en,Lad: A Dog,0.89172,02/06/1962,98,Lad: A Dog,8,1,7.99
en,Those Calloways,0.277806,28/01/1965,131,Those Calloways,7.3,3,6.99
en,The Harmony Game,0.100029,11/02/2011,72,The Harmony Game,8,1,7.99
en,The Pacific,6.092242,15/03/2010,540,The Pacific,7.9,318,7.99
en,1000 Journals,0.041202,01/11/2007,88,1000 Journals,8,1,7.99
en,Art and Craft,0.305326,19/09/2014,90,Art and Craft,7.1,6,6.99
en,Brooklyn,7.991613,20/10/2015,111,Brooklyn,7.2,1235,6.99
en,The End of the Tour,9.201378,31/07/2015,106,The End of the Tour,7.3,210,6.99
en,The Mask You Live In,1.250498,01/01/2015,88,The Mask You Live In,8.7,21,8.99
en,Prophet's Prey,1.348402,01/08/2015,88,Prophet's Prey,7.3,13,6.99
en,"What Happened, Miss Simone?",4.507082,22/01/2015,101,"What Happened, Miss Simone?",7.7,111,7.99
en,Dope,7.948581,19/06/2015,103,Dope,7.2,698,6.99
en,Me and Earl and the Dying Girl,12.503333,12/06/2015,105,Me and Earl and the Dying Girl,7.7,962,7.99
en,Saturday Night,0.786341,02/05/2010,90,Saturday Night,7.2,5,6.99
en,Jim Jefferies: BARE,1.62502,29/08/2014,76,Jim Jefferies: BARE,7.7,35,7.99
en,The Hateful Eight,20.328822,25/12/2015,167,The Hateful Eight,7.6,4405,7.99
en,Poliziotto sprint,0.125145,19/10/1977,96,Highway Racer,7.5,2,7.99
en,We Cause Scenes,0.431841,08/01/2014,86,We Cause Scenes,7.8,4,7.99
en,Artifact,6.637049,14/09/2012,105,Artifact,7.6,41,7.99
en,Closure,0.069426,01/12/2013,76,Closure,8,1,7.99
en,Mike Birbiglia: My Girlfriend's Boyfriend,0.892006,22/08/2013,75,Mike Birbiglia: My Girlfriend's Boyfriend,8.1,16,7.99
en,The High Sign,0.908985,18/04/1921,21,The High Sign,7.2,18,6.99
en,A Reflection of Fear,0.04586,12/02/1973,89,A Reflection of Fear,8,2,7.99
en,Camp,0.647811,22/02/2013,111,Camp,7.5,4,7.99
en,Merchants of Doubt,1.743751,08/11/2014,96,Merchants of Doubt,7.5,36,7.99
en,George Carlin: It's Bad for Ya!,2.31176,01/03/2008,70,George Carlin: It's Bad for Ya!,8.1,33,7.99
en,"McFarland, USA",6.894606,20/02/2015,128,"McFarland, USA",7.4,216,6.99
en,Melody,1.152521,28/03/1971,103,Melody,7.4,13,6.99
en,The Linguists,0.074112,17/01/2008,64,The Linguists,8,2,7.99
en,Baby Snakes,0.075144,21/12/1979,166,Baby Snakes,8.3,2,7.99
en,Sitting Target,0.235578,19/06/1972,93,Sitting Target,7.2,6,6.99
en,The Amazing Screw-On Head,1.173854,20/08/2006,22,The Amazing Screw-On Head,8,8,7.99
en,Shark Kill,0.011938,20/05/1976,76,Shark Kill,10,1,9.99
en,Furious 7,27.275687,01/04/2015,137,Furious 7,7.3,4253,6.99
en,Midnight Ride,0.766401,01/01/1990,93,Midnight Ride,8,2,7.99
en,Julie Darling,0.079137,01/03/1983,100,Julie Darling,8,2,7.99
en,George Carlin: Life Is Worth Losing,4.806651,05/11/2005,74,George Carlin: Life Is Worth Losing,8.1,18,7.99
en,Somebody Killed Her Husband,0.372751,29/09/1978,97,Somebody Killed Her Husband,7.5,2,7.99
en,Terror at the Mall,0.054871,15/09/2014,60,Terror at the Mall,8,1,7.99
en,The Jinx: The Life and Deaths of Robert Durst,5.403881,08/02/2015,240,The Jinx: The Life and Deaths of Robert Durst,8.6,85,8.99
en,Woman in Gold,11.61,10/04/2015,120,Woman in Gold,7.3,454,6.99
en,Sole Survivor,0.041923,01/12/1983,85,Sole Survivor,7.3,7,6.99
en,Rafferty and the Gold Dust Twins,0.101713,02/02/1975,91,Rafferty and the Gold Dust Twins,8,1,7.99
en,Nobody's Perfect,0.444066,02/02/1990,90,Nobody's Perfect,7.3,3,6.99
en,Cash McCall,0.362876,27/01/1960,102,Cash McCall,7.5,2,7.99
en,One Night Only,0.004425,06/01/1986,87,One Night Only,10,1,9.99
en,Crooks and Coronets,0.279551,02/04/1969,106,Crooks and Coronets,10,1,9.99
en,Ballerina,0.428373,31/08/2006,77,Ballerina,8,3,7.99
en,And the Oscar Goes To...,1.627151,02/02/2014,100,And the Oscar Goes To...,7.1,15,6.99
en,Say Nothing,0.229743,01/08/2001,94,Say Nothing,9,1,8.99
en,Man from Del Rio,0.776159,30/10/1956,82,Man from Del Rio,7.1,4,6.99
en,Muito Além do Peso,0.341377,01/09/2012,83,Way Beyond Weight,8,1,7.99
en,The Longest Ride,10.264416,09/04/2015,128,The Longest Ride,7.3,1083,6.99
en,Lage Raho Munna Bhai,3.540755,01/01/2006,144,Lage Raho Munna Bhai,7.6,45,7.99
en,Ship of Theseus,0.837582,06/09/2012,143,Ship of Theseus,7.4,14,6.99
en,Antarctica: A Year on Ice,3.146793,05/09/2013,92,Antarctica: A Year on Ice,7.2,31,6.99
en,The Age of Adaline,10.542026,16/04/2015,112,The Age of Adaline,7.4,2052,6.99
en,Sinatra: All or Nothing at All,0.669469,05/04/2015,240,Sinatra: All or Nothing at All,7.1,14,6.99
en,A Girl Like Her,3.766743,27/03/2015,91,A Girl Like Her,7.2,82,6.99
en,Winning Time: Reggie Miller vs. The New York Knicks,1.130406,14/03/2010,68,Winning Time: Reggie Miller vs. The New York Knicks,8.2,8,7.99
en,Bad Boys,0.450876,17/04/2014,100,Bad Boys,9.5,4,9.99
en,GMO OMG,0.757848,13/09/2013,90,GMO OMG,7.4,15,6.99
en,The Velveteen Rabbit,0.74021,01/01/2009,97,The Velveteen Rabbit,7.8,9,7.99
en,Testament of Youth,7.046825,14/10/2014,129,Testament of Youth,7.2,259,6.99
en,Girl Rising,3.273977,07/03/2013,101,Girl Rising,7.1,17,6.99
en,Call + Response,0.04002,10/10/2008,86,Call + Response,8,1,7.99
en,One Little Pill,0.415124,01/10/2014,52,One Little Pill,9,1,8.99
en,Pump!,0.499251,19/09/2014,88,Pump,7.8,5,7.99
en,Cocaine Cowboys: Reloaded,0.871688,08/04/2014,152,Cocaine Cowboys: Reloaded,7.3,9,6.99
en,Resistance,0.241235,01/01/2015,72,Resistance,7.2,5,6.99
en,Ethos,0.524436,01/01/2011,72,Ethos,7.1,4,6.99
en,Carol,8.364201,20/11/2015,118,Carol,7.3,1014,6.99
en,The Mars Underground,0.180741,09/05/2007,52,The Mars Underground,7.1,5,6.99
en,The Martian,25.62993,30/09/2015,141,The Martian,7.6,7442,7.99
en,Road,1.403263,11/06/2014,102,Road,7.7,16,7.99
en,Kung Fury,7.741143,22/05/2015,31,Kung Fury,7.6,762,7.99
en,Child's Play,0.549801,12/12/1972,100,Child's Play,7.3,4,6.99
en,Don't Knock The Rock,0.634649,14/12/1956,84,Don't Knock The Rock,7.5,2,7.99
en,Yield to the Night,1.038506,19/06/1956,99,Yield to the Night,8,3,7.99
en,Streetwise,0.270879,07/12/1984,91,Streetwise,8.3,7,7.99
en,The Impossible Years,0.152165,05/12/1968,92,The Impossible Years,8.3,3,7.99
en,To Trap a Spy,0.898135,01/01/1964,92,To Trap a Spy,8,2,7.99
en,Backyard Dogs,0.9854,20/11/2001,96,Backyard Dogs,10,1,9.99
en,Inside Out,23.985587,09/06/2015,94,Inside Out,7.9,6737,7.99
en,Love & Mercy,10.444048,29/05/2015,120,Love & Mercy,7.3,246,6.99
en,Fantastic Beasts and Where to Find Them,41.051421,16/11/2016,133,Fantastic Beasts and Where to Find Them,7.2,5612,6.99
en,Got the Facts on Milk?,0.078655,30/08/2011,88,Got the Facts on Milk?,8.3,2,7.99
en,Jig,0.071002,30/11/2011,0,Jig,8,1,7.99
en,Hells Angels Forever,0.004974,09/10/1983,0,Hells Angels Forever,9.5,1,9.99
en,Bruce Lee: A Warrior's Journey,1.165594,22/10/2000,100,Bruce Lee: A Warrior's Journey,7.3,15,6.99
en,The Great Impostor,0.407738,01/03/1961,113,The Great Impostor,7.5,2,7.99
en,Pardners,2.265234,01/08/1956,90,Pardners,7.2,13,6.99
en,The Best of Enemies,0.55901,26/10/1961,104,The Best of Enemies,7.3,2,6.99
en,Mortal Kombat: The Journey Begins,0.714715,28/08/1995,54,Mortal Kombat: The Journey Begins,10,1,9.99
en,Scooby-Doo! Mask of the Blue Falcon,2.245536,15/12/2012,78,Scooby-Doo! Mask of the Blue Falcon,7.1,7,6.99
en,Jeff Ross Roasts America,0.367808,11/08/2012,60,Jeff Ross Roasts America,7.5,3,7.99
en,Kevin Hart: Laugh at My Pain,6.554298,09/09/2011,89,Kevin Hart: Laugh at My Pain,7.7,43,7.99
en,One Froggy Evening,2.033049,30/12/1955,7,One Froggy Evening,7.8,33,7.99
en,Mickey's Christmas Carol,11.742804,19/10/1983,26,Mickey's Christmas Carol,7.6,167,7.99
en,Faith of Our Fathers,0.547615,01/07/2015,96,Faith of Our Fathers,8.7,3,8.99
en,Rhymes for Young Ghouls,0.66618,09/09/2013,86,Rhymes for Young Ghouls,7.4,12,6.99
en,White Lion,0.32166,19/02/2010,93,White Lion,7.2,7,6.99
en,Sierra Leone's Refugee All Stars,0.153174,14/08/2007,78,Sierra Leone's Refugee All Stars,7.3,3,6.99
en,Amy,11.12024,03/07/2015,128,Amy,7.5,482,7.99
en,Common Law Cabin,0.48006,01/07/1967,70,Common Law Cabin,7.6,5,7.99
en,Good Morning... and Goodbye!,0.650033,01/11/1967,80,Good Morning... and Goodbye!,7.8,7,7.99
en,The Man from U.N.C.L.E.,14.656875,13/08/2015,116,The Man from U.N.C.L.E.,7.1,2306,6.99
en,The Widowmaker,0.215188,27/02/2015,96,The Widowmaker,7.3,2,6.99
en,Feast,7.365663,07/11/2014,6,Feast,8,420,7.99
en,Sweet Revenge,0.531228,06/06/1976,90,Sweet Revenge,7.8,4,7.99
en,The Dream Team,0.671027,13/06/2012,70,The Dream Team,8.3,13,7.99
en,The Kreutzer Sonata,0.086266,20/06/2008,99,The Kreutzer Sonata,10,1,9.99
en,Small Potatoes: Who Killed the USFL?,0.54473,20/10/2009,53,Small Potatoes: Who Killed the USFL?,7.4,7,6.99
en,The U,0.550363,12/12/2009,53,The U,8.1,6,7.99
en,Pony Excess,0.217652,11/12/2010,53,Pony Excess,7.6,6,7.99
en,Elway To Marino,0.248837,23/04/2013,79,Elway To Marino,8.3,3,7.99
en,Afro Samurai,3.292097,04/01/2007,125,Afro Samurai,7.3,63,6.99
en,The Revenant,23.501228,25/12/2015,156,The Revenant,7.3,6558,6.99
en,One Minute Time Machine,1.783273,29/03/2014,6,One Minute Time Machine,8.2,17,7.99
en,The True Cost,2.796878,29/05/2015,92,The True Cost,7.7,60,7.99
en,Southpaw,12.370126,15/06/2015,123,Southpaw,7.3,2112,6.99
en,Sicario,19.511221,17/09/2015,121,Sicario,7.2,2465,6.99
en,The Crisis of Civilization,0.09348,27/03/2012,82,The Crisis of Civilization,8.3,2,7.99
en,Venetian Bird,0.103727,01/10/1952,94,Venetian Bird,8,2,7.99
en,Best of Enemies,3.141893,31/07/2015,87,Best of Enemies,7.2,61,6.99
en,Colonia,10.156891,18/02/2016,120,Colonia,7.4,566,6.99
en,Russian Terminator,0.039352,12/12/1989,87,Russian Terminator,8,1,7.99
en,"Video Nasties: Moral Panic, Censorship & Videotape",0.376182,30/08/2010,72,"Video Nasties: Moral Panic, Censorship & Videotape",7.2,9,6.99
en,The Intern,15.651705,24/09/2015,121,The Intern,7.1,1926,6.99
en,Chelsea Handler Uganda Be Kidding Me Live,0.888914,10/10/2014,71,Chelsea Handler Uganda Be Kidding Me Live,7.1,14,6.99
en,The Paw Project,0.047234,27/09/2013,58,The Paw Project,10,1,9.99
en,Room,12.443291,16/10/2015,117,Room,8.1,2838,7.99
en,Last Cab to Darwin,2.303824,06/08/2015,124,Last Cab to Darwin,7.5,21,7.99
en,Bill Cosby: Far From Finished,0.560453,23/11/2013,95,Bill Cosby: Far From Finished,7.4,7,6.99
en,Sting of the Black Scorpion,0.422609,06/11/2002,84,Sting of the Black Scorpion,8,1,7.99
en,"Family Guy Presents: Something, Something, Something, Dark Side",8.266563,17/10/2009,44,"Family Guy Presents: Something, Something, Something, Dark Side",7.2,110,6.99
en,Fatal Bond,1.523312,28/10/1991,89,Fatal Bond,7.5,2,7.99
en,Sakura Killers,0.01476,01/01/1987,86,Sakura Killers,7.5,2,7.99
en,Straight Outta Compton,21.183077,13/08/2015,147,Straight Outta Compton,7.7,1381,7.99
en,The Lost Room,5.655194,09/12/2006,270,The Lost Room,7.8,98,7.99
en,Pardon My Past,0.356303,24/12/1945,88,Pardon My Past,7.5,2,7.99
en,Truck Turner,2.009635,19/04/1974,91,Truck Turner,7.2,13,6.99
en,Next Goal Wins,1.747806,25/04/2014,97,Next Goal Wins,7.5,16,7.99
en,Being Evel,1.197099,23/01/2015,100,Being Evel,7.1,9,6.99
en,Who's Minding The Mint?,0.111773,26/09/1967,97,Who's Minding The Mint?,8.3,3,7.99
en,Suffragette,8.093442,16/10/2015,106,Suffragette,7.1,440,6.99
en,Vanishing of the Bees,0.792574,09/10/2009,96,Vanishing of the Bees,7.3,6,6.99
en,The Outcasts,10.591249,14/04/2017,95,The Outcasts,7.1,141,6.99
en,The Danish Girl,11.245661,27/11/2015,120,The Danish Girl,7.4,1689,6.99
en,Beasts of No Nation,11.732546,11/09/2015,137,Beasts of No Nation,7.6,476,7.99
en,Hot Wheels Acceleracers: Ignition,1.914671,08/01/2005,60,Hot Wheels Acceleracers: Ignition,7.7,6,7.99
en,Zid,0.195677,28/11/2014,128,Zid,7.5,2,7.99
en,Listen to Me Marlon,2.554756,29/07/2015,103,Listen to Me Marlon,7.1,48,6.99
en,Snowdens Store Flugt,0.712004,12/01/2015,58,Snowden’s Great Escape,8.7,3,8.99
en,The First Olympics: Athens 1896,0.004425,20/05/1984,237,The First Olympics: Athens 1896,9,1,8.99
en,Spotlight,14.63239,06/11/2015,128,Spotlight,7.8,2751,7.99
en,Viva,1.709199,08/11/2015,100,Viva,7.4,12,6.99
en,Island of Love,0.122088,12/06/1963,113,Island of Love,7.5,1,7.99
en,Full Out,2.607667,11/09/2015,94,Full Out,7.1,40,6.99
en,A Horse for Summer,0.453126,06/01/2015,96,A Horse for Summer,8,3,7.99
en,Dream Deceivers: The Story Behind James Vance vs. Judas Priest,0.061678,06/08/1992,61,Dream Deceivers: The Story Behind James Vance vs. Judas Priest,10,1,9.99
en,Freeheld,4.955317,02/10/2015,103,Freeheld,7.1,168,6.99
en,The Little Prince,11.376954,29/07/2015,92,The Little Prince,7.6,771,7.99
en,If You Build It,0.46175,10/01/2014,85,If You Build It,7.1,5,6.99
en,Wonder Woman,294.337037,30/05/2017,141,Wonder Woman,7.2,5025,6.99
en,Glen Campbell: I'll Be Me,1.380258,24/04/2014,116,Glen Campbell: I'll Be Me,7.1,16,6.99
en,Bridge of Spies,13.707888,15/10/2015,141,Bridge of Spies,7.2,2633,6.99
en,Les Misérables in Concert - The 25th Anniversary,2.0026,03/10/2010,178,Les Misérables in Concert - The 25th Anniversary,8,24,7.99
en,If I Die Before I Wake,0.115589,24/04/2001,77,If I Die Before I Wake,7.5,2,7.99
en,Where to Invade Next,5.251621,23/12/2015,120,Where to Invade Next,7.3,153,6.99
en,The Take,2.76859,17/06/2009,173,The Take,7.7,22,7.99
en,Salad Days,0.679427,11/04/2015,90,Salad Days,7.2,10,6.99
en,TimeScapes,1.066979,01/06/2012,52,TimeScapes,7.4,10,6.99
en,Peace Officer,0.208919,16/09/2015,109,Peace Officer,7.6,5,7.99
en,The Dead Zone,1.17573,05/11/2002,83,The Dead Zone,7.7,7,7.99
en,Blondie Has Servant Trouble,0.486412,25/07/1940,72,Blondie Has Servant Trouble,7.7,3,7.99
en,No Place on Earth,0.973327,10/09/2012,81,No Place on Earth,7.5,10,7.99
en,Miss You Already,7.634145,12/09/2015,112,Miss You Already,7.3,232,6.99
en,Unity,2.500114,12/08/2015,99,Unity,8.4,10,7.99
en,The Day the '60s Died,0.097444,28/04/2015,56,The Day the '60s Died,7.5,2,7.99
en,The Secret Life of Plants,0.028347,09/12/1979,95,The Secret Life of Plants,8,1,7.99
en,David,2.404939,23/03/1997,190,David,8.2,11,7.99
en,Pedro,0.309326,07/09/2008,93,Pedro,8,1,7.99
en,Fathers and Daughters,6.758038,01/10/2015,116,Fathers and Daughters,7.2,262,6.99
en,The Mad Doctor,1.85122,21/01/1933,7,The Mad Doctor,7.5,12,7.99
en,Trumbo,7.358726,27/10/2015,124,Trumbo,7.3,507,6.99
