original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,Paradise Lost 3: Purgatory,2.84239,10/10/2011,121,Paradise Lost 3: Purgatory,7.6,44,7.99
en,Pitch Perfect,11.03595,28/09/2012,112,Pitch Perfect,7.3,2310,6.99
en,Ai Weiwei: Never Sorry,2.643111,14/06/2012,91,Ai Weiwei: Never Sorry,7.1,32,6.99
en,End of Watch,7.45279,20/09/2012,109,End of Watch,7.2,1186,6.99
en,The Perks of Being a Wallflower,12.775679,20/09/2012,102,The Perks of Being a Wallflower,7.7,3056,7.99
en,Shut Up and Play the Hits,0.93568,22/01/2012,105,Shut Up and Play the Hits,7.5,19,7.99
en,Présumé coupable,2.494324,07/09/2011,102,Presumed Guilty,7.1,32,6.99
en,Urbanized,1.259725,09/09/2011,85,Urbanized,7.4,33,6.99
en,Shottas,2.014035,27/02/2002,95,Shottas,7.4,38,6.99
en,Side by Side,6.337857,19/08/2012,99,Side by Side,7.1,111,6.99
en,Argo,14.238234,11/10/2012,120,Argo,7.1,3473,6.99
en,The House I Live In,1.339277,05/10/2012,110,The House I Live In,7.5,35,7.99
en,The Imposter,8.970709,13/07/2012,95,The Imposter,7.4,273,6.99
en,Wreck-It Ralph,13.697597,01/11/2012,108,Wreck-It Ralph,7.1,4656,6.99
en,Life of Pi,14.045042,20/11/2012,127,Life of Pi,7.2,5912,6.99
en,Wake in Fright,4.249576,21/07/1971,114,Wake in Fright,7.6,66,7.99
en,Brooklyn Castle,0.586854,19/10/2012,101,Brooklyn Castle,7.5,8,7.99
en,"Batman: The Dark Knight Returns, Part 1",12.107182,06/09/2012,76,"Batman: The Dark Knight Returns, Part 1",7.7,410,7.99
en,The Invisible War,7.473701,20/01/2012,93,The Invisible War,7.4,38,6.99
en,Rise of the Guardians,10.943775,21/11/2012,97,Rise of the Guardians,7.1,1981,6.99
en,Paperman,7.198633,02/11/2012,7,Paperman,8,734,7.99
en,Django Unchained,19.785025,25/12/2012,165,Django Unchained,7.8,10297,7.99
en,I Bought a Vampire Motorcycle,1.080954,06/07/1990,101,I Bought a Vampire Motorcycle,7.2,5,6.99
en,Les Misérables,13.52408,18/12/2012,157,Les Misérables,7.2,1925,6.99
en,The Bobo,0.607573,28/09/1967,105,The Bobo,8,3,7.99
en,Kumaré,0.971157,20/06/2012,86,Kumaré,7.1,27,6.99
en,Born to Be Wild,2.92387,08/04/2011,40,Born to Be Wild,7.2,20,6.99
en,Girl Walk // All Day,0.358534,08/12/2011,75,Girl Walk // All Day,7.1,7,6.99
en,Just Ask My Children,1.373713,10/09/2001,91,Just Ask My Children,7.2,5,6.99
en,Yesterday's Enemy,0.791655,10/09/1959,95,Yesterday's Enemy,8.4,5,7.99
en,Confessions of a Pop Performer,0.708985,01/01/1975,91,Confessions of a Pop Performer,7.5,4,7.99
en,The Waiting Room,1.198442,26/09/2012,0,The Waiting Room,7.2,9,6.99
en,"Batman: The Dark Knight Returns, Part 2",12.576611,18/01/2013,78,"Batman: The Dark Knight Returns, Part 2",7.9,426,7.99
en,Careless Love,0.085536,16/05/2012,104,Careless Love,8,1,7.99
en,Special When Lit,0.727515,01/10/2009,97,Special When Lit,7.4,11,6.99
en,Bonsái,0.326654,02/09/2011,95,Bonsai,7.3,4,6.99
en,Up In Smoke,0.197931,22/12/1957,61,Up In Smoke,8,1,7.99
en,Jason Becker: Not Dead Yet,0.404706,03/03/2012,87,Jason Becker: Not Dead Yet,8.1,7,7.99
en,Crossfire Hurricane,1.434624,18/10/2012,111,Crossfire Hurricane,7.4,14,6.99
en,Punching the Clown,0.988841,22/10/2010,91,Punching the Clown,7.5,6,7.99
en,Hawking,6.400496,10/12/2004,90,Hawking,7.1,43,6.99
en,Now Is Good,5.348025,25/05/2012,103,Now Is Good,7.3,379,6.99
en,PressPausePlay,0.584342,01/03/2011,88,PressPausePlay,7.6,8,7.99
en,Before Midnight,11.30324,05/04/2013,108,Before Midnight,7.3,583,6.99
en,Which Way Home,0.225251,31/01/2009,90,Which Way Home,7.5,5,7.99
en,Living in Emergency: Stories of Doctors Without Borders,0.051896,29/08/2008,93,Living in Emergency: Stories of Doctors Without Borders,9,1,8.99
en,911 in Plane Site,1.017042,01/01/2004,52,911 in Plane Site,8,5,7.99
en,Lenny Bruce: Swear to Tell the Truth,0.358968,21/10/1998,100,Lenny Bruce: Swear to Tell the Truth,9.5,1,9.99
en,The Legend of Sleepy Hollow,1.192956,05/10/1949,34,The Legend of Sleepy Hollow,7.1,24,6.99
en,Sound City,4.290209,18/01/2013,106,Sound City,7.4,90,6.99
en,Burn,0.466236,01/11/2012,86,Burn,7.1,7,6.99
en,The First Time,5.731701,19/10/2012,95,The First Time,7.1,725,6.99
en,One Life,5.389068,19/07/2011,85,One Life,7.2,24,6.99
en,One Lucky Elephant,0.044894,08/06/2011,84,One Lucky Elephant,8,1,7.99
en,Soupçons,0.779002,01/06/2004,360,The Staircase,7.9,22,7.99
en,Never Sleep Again: The Elm Street Legacy,2.48821,04/05/2010,240,Never Sleep Again: The Elm Street Legacy,8.2,37,7.99
